年度/Year,月份/Month,發電站名稱/Station Name,裝置容量(瓩)/Installed Capacity(kW),發電量(度)/Power Generation(kW-h),平均單位裝置容量每日發電量/Average of Each Unit Power Generatioon Per Day
2016,11,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,6868,2.41
2016,11,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,7991,2.23
2016,11,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,3228,2.49
2016,11,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,191704,2.91
2016,11,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,586293,2.92
2016,11,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,8384,2.97
2016,11,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,3184,1.71
2016,11,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,441420,3.07
2016,11,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,160441,3.18
2016,11,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,5762,3.1
2016,11,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,145829,3.23
2016,11,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,6273,2.87
2016,11,澎湖七美光電站/Penghu Qimei Photovoltaics Station,154.56,10672,2.23
2016,11,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,28198,1.72
2016,12,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,50126,2.48
2016,12,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,3040,2.44
2016,12,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,7039,2.47
2016,12,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,8953,2.49
2016,12,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,3992,3.07
2016,12,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,177942,2.7
2016,12,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,593372,2.95
2016,12,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,9047,3.2
2016,12,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,3466,1.86
2016,12,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,494428,3.44
2016,12,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,166752,3.3
2016,12,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,6133,3.3
2016,12,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,151676,3.36
2016,12,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,5594,2.56
2016,12,澎湖七美光電站/Penghu Qimei Photovoltaics Station,154.56,10334,2.16
2016,12,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,45982,2.81
2017,1,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,44838,2.22
2017,1,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,2759,2.21
2017,1,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,7689,2.7
2017,1,東勢新伯公光電站/Dongshi Xinbogong Photovoltaics Station,115.8,9264,2.58
2017,1,卓蘭會館光電站/Zhuolan Hostel Photovoltaics Station,41.9,4101,3.16
2017,1,台中電廠光電站/Taichung Power Plant Photovoltaics Station,2123.04,192042,2.92
2017,1,台中龍井光電站/Taichung Longjing Photovoltaics Station,6485.94,657732,3.27
2017,1,后里E/S光電站/Houli E/S Photovoltaics Station,91.125,10046,3.56
2017,1,嘉義民雄光電站/Jiayi Minxiong Photovoltaics Station,60,3615,1.94
2017,1,永安鹽灘地光電站/Yongan Salt Flats Photovoltaics Station,4636.8,545572,3.8
2017,1,興達電廠光電站/Xingda Power Plant Photovoltaics Station,1627.65,187707,3.72
2017,1,路北E/S光電站/Lubei E/S Photovoltaics Station,60.03,6910,3.71
2017,1,核三廠光電站/3rd Nuclear Power Plants Photovoltaics Station,1458.24,177869,3.93
2017,1,澎湖尖山光電站/Penghu jianshan Photovoltaics Station,70.61,5708,2.61
2017,1,澎湖七美光電站/Penghu Qimei Photovoltaics Station,154.56,10071,2.1
2017,1,金門金沙光電站/Kinmen Jinsha Photovoltaics Station,528,46570,2.85
2017,2,大潭電廠光電站/Datang Power Plant Photovoltaics Station,651.42,46619,2.31
2017,2,中大D/S光電站/Zhongda D/S Photovoltaics Station,40.25,2809,2.25
2017,2,中部儲運中心光電站/Central Storage and Transportation Center Photovoltaics Station,91.8,6775,2.38
