DateTime,Volume,Transaction,Value,Open,High,Low,Close,Change,ForeignVol,TrustVol,DealerVol,InvestorsVol
2018/5/7,23751759,8951,5309421525,225,225.5,221.5,223.5,0.5,24719832,273874,1313000,26306706
2018/5/8,40324763,13229,9146327464,224,228.5,223.5,228,4.5,47852310,682231,1830000,50364541
2018/5/9,35597934,12616,8188991070,228.5,232,228.5,229.5,1.5,36119602,30000,1570000,37719602
2018/5/10,27530377,11051,6337230710,231,231.5,229,229.5,0,27517310,147000,773000,28437310
2018/5/11,30693910,11920,7138428530,232,234,230.5,233,3.5,22678677,577000,1560000,24815677
2018/5/14,23577637,7666,5502726121,234.5,234.5,232.5,233,0,32218571,475000,884000,33577571
2018/5/15,23771769,7810,5493470187,233.5,234,229.5,230.5,2.5,27094015,472000,1596000,29162015
2018/5/16,14834107,5398,3408682013,229.5,230.5,228.5,230.5,0,19624390,236000,490000,20350390
2018/5/17,27702737,8428,6322484836,231,231.5,226.5,226.5,4,42633572,611000,927000,44171572
2018/5/18,28187541,9720,6327474145,225.5,227.5,223.5,223.5,3,35672353,1866000,1197000,38735353
2018/5/21,16417815,7591,3751438835,225,230,225,229,5.5,17486369,1090000,1296000,19872369
2018/5/22,22422097,6963,5175634112,230,233.5,229,229,0,21533432,54000,1109000,22696432
2018/5/23,26737899,5059,6146178621,231.5,231.5,228.5,228.5,0.5,42750442,523669,1376000,44650111
2018/5/24,13450610,4240,3082675140,229.5,230,228.5,229,0.5,21833223,300000,936000,23069223
2018/5/25,16486294,5474,3769909946,228.5,229.5,228,228.5,0.5,24105684,635000,870000,25610684
2018/5/28,17673270,7239,4020203060,229.5,230,226.5,227,1.5,22913412,188000,704000,23805412
2018/5/29,25770776,11400,5782293276,226.5,226.5,223.5,225,2,34059191,500000,1066000,35625191
2018/5/30,49667788,21406,10997306304,224,224,220.5,221,4,54525026,1895000,1827000,58247026
2018/5/31,96587458,12737,21553655265,221.5,224,220.5,224,3,170371632,1036000,1666000,173073632
2018/6/1,36652094,7627,8209412370,224.5,226.5,224,224,0,62143379,147000,1618000,63908379
2018/6/4,31257480,9746,7131988670,227.5,229,227,229,5,44185628,239000,1912000,46336628
2018/6/5,27714384,8509,6329201896,230,230,226.5,229,0,41636807,131000,777000,42544807
2018/6/6,30375441,9758,6961135060,229,230,227,230,1,45947591,323000,1585000,47855591
2018/6/7,25277266,9146,5809345446,231,231.5,228,230,0,35650983,563000,991000,37204983
2018/6/8,24192851,7775,5493234408,229,229,226,227,3,33542714,382000,2285000,36209714
2018/6/11,22028933,6726,4980629259,226.5,227,225,226,1,31427529,763000,1400000,33590529
2018/6/12,30189360,8281,6837374510,225,229,224,229,3,41984322,336000,1903000,44223322
2018/6/13,36081120,10687,8311856296,229,232,228,232,3,48518462,578000,1753000,50849462
2018/6/14,36932041,12252,8423126398,230,230,226.5,226.5,5.5,49397304,1513000,2897000,53807304
2018/6/15,49506679,10090,11291127719,225,231,224,231,4.5,67216652,994000,1863000,70073652
2018/6/19,61142624,19088,13754800554,225.5,226,224,225,6,86650143,814000,1475000,88939143
2018/6/20,40708701,13262,9175159127,224.5,227.5,223.5,226,1,56981133,565916,4752000,62299049
2018/6/21,32572707,9421,7379769339,227.5,228,226,226.5,0.5,36587327,514000,2972000,40073327
2018/6/22,44211409,14388,9994644852,224.5,227.5,224,227.5,1,43810344,81000,6462000,50353344
2018/6/25,49058211,17959,10749795782,220,220.5,218,218,0,55412401,0,5213000,60625401
2018/6/26,43080346,15639,9242648746,215.5,216,212.5,214.5,3.5,53945852,536000,3408000,57889852
2018/6/27,40863414,12681,8742004301,216,216,212.5,213,1.5,63397459,617000,1298000,65312459
2018/6/28,38816780,10772,8231075920,211,214.5,210,212,1,56603821,422000,1972000,58997821
2018/6/29,36848680,8652,7919779720,212,217,212,216.5,4.5,58348636,212000,1318000,59878636
2018/7/2,33496442,8508,7257081470,218.5,219,214,214,2.5,54540315,346000,1428000,56314315
2018/7/3,28663220,7758,6173115899,215.5,218,213.5,214.5,0.5,47253185,258000,1592000,49103185
2018/7/4,15359295,5434,3324927032,217,217.5,215.5,216,1.5,23443216,169000,1619000,25231216
2018/7/5,18225416,5581,3904832940,214,215,213,214.5,1.5,28019809,114000,789000,28922809
2018/7/6,31344962,8620,6779063394,217.5,217.5,215,217,2.5,47672854,178000,664000,48514854
2018/7/9,41165793,14795,9100880393,219.5,223,218.5,221.5,4.5,51850567,1577000,1634000,55061567
2018/7/10,20196957,6922,4498264914,223,224,222,222,0.5,28622682,662000,1107000,30391682
2018/7/11,19854690,7437,4355547100,220,220,218,220,2,26460370,509000,2792000,29761370
2018/7/12,23806051,7885,5246628771,218,222,218,220.5,0.5,39585692,353000,574000,40512692
2018/7/13,30419311,11723,6799894334,222.5,224.5,222.5,224.5,4,41096691,303000,896000,42295691
2018/7/16,16107254,6321,3612296896,224.5,225,223.5,223.5,1,20008235,906000,2200000,23114235
2018/7/17,22554436,8636,5003028272,222.5,223.5,221,221.5,2,32633018,1311000,855000,34799018
2018/7/18,45802658,12139,10221407834,223,224,222,223,1.5,72885970,1980000,2931000,77796970
2018/7/19,43976216,12076,9930715930,225.5,227,224.5,224.5,1.5,51414701,1072000,2812000,55298701
2018/7/20,103652023,39544,24367904428,235,237.5,233,237.5,13,107497718,4035000,3325000,114857718
2018/7/23,52269877,19777,12621500480,239,245,238.5,241,3.5,54523121,1979000,2897000,59399121
2018/7/24,27468267,10574,6599675515,240,241.5,238.5,241,0,36461200,665000,784000,37910200
2018/7/25,21530312,8491,5173924310,239,241,239,240.5,0.5,29178239,276000,304000,29758239
2018/7/26,30856388,10235,7435261120,241,242.5,239.5,241,0.5,40440853,164000,562000,41166853
2018/7/27,27129646,12493,6605479210,242,244.5,241,244.5,3.5,33001148,96000,1314000,34411148
2018/7/30,22803730,9953,5585710909,244.5,245.5,244,245.5,1,25831737,56000,808000,26695737
2018/7/31,28202542,9460,6912550610,243.5,246,242,246,0.5,38526806,1907000,1826000,42259806
2018/8/1,29777161,11667,7375488342,247,248,246.5,248,2,38817973,457000,1283000,40557973
2018/8/2,22775110,10343,5611725541,249,249.5,243.5,244.5,3.5,24149711,507000,2019000,26675711
2018/8/3,25165097,9585,6205758662,246,248,245,247,2.5,34376866,1921000,983000,37280866
2018/8/6,22364568,9732,5487396854,245,247,244,245.5,1.5,28239299,876000,1247000,30362299
2018/8/7,24352418,9665,5922738042,245,245.5,241.5,241.5,4,35613783,403000,1258000,37274783
2018/8/8,24382432,10247,6011480272,245,247.5,244.5,247.5,6,27944400,90000,821000,28855400
2018/8/9,15128655,7127,3740736404,247,248,246,247,0.5,17561489,1117000,794000,19472489
2018/8/10,16125492,6558,3961311040,246.5,247,244.5,245,2,24027059,316000,614000,24957059
2018/8/13,17881194,9875,4302280285,241.5,243,239,240.5,4.5,18037415,127000,1735000,19899415
2018/8/14,17488913,7415,4262753253,245,245,242.5,243.5,3,23793725,202000,1210000,25205725
2018/8/15,19236321,8920,4642117523,244.5,244.5,239.5,241.5,2,22068637,532000,2963000,25563637
2018/8/16,19155966,9397,4587260340,238,241.5,238,239,2.5,23727266,11000,1462000,25200266
2018/8/17,19634474,6680,4707354383,239.5,241,239,239.5,0.5,31094626,220000,817000,32131626
2018/8/20,17014437,6640,4068729103,239.5,240,238,239.5,0,26412187,349000,413000,27174187
2018/8/21,13871127,5474,3328215657,239,241,238.5,241,1.5,21467490,244000,1191000,22902490
2018/8/22,12679240,5009,3063201922,241.5,242.5,240.5,242,1,17529032,72000,1668000,19269032
2018/8/23,17216240,5660,4200671070,243,244.5,243,244.5,2.5,25776797,551000,637000,26964797
2018/8/24,15446943,5099,3772959070,245.5,246,243,243.5,1,23077813,258000,1106000,24441813
2018/8/27,15579299,7858,3825736755,246,246.5,244.5,245,1.5,20296633,124000,968000,21388633
2018/8/28,40410531,16881,10075613779,248.5,250,248,249.5,4.5,50270452,868000,1712000,52850452
2018/8/29,57633182,25668,14784556456,253.5,259,253.5,259,9.5,62230465,1208000,2531000,65969465
2018/8/30,52622808,22862,13914404873,264.5,268,262.5,263.5,4.5,60504434,1355000,2281000,64140434
2018/8/31,70000506,19019,17920548387,257.5,259,254,256,7.5,102634405,338000,1920000,104892405
2018/9/3,34510555,11442,8901193266,259,260,256.5,257,1,51394119,263000,1561000,53218119
2018/9/4,41455615,9069,10654493061,258.5,259.5,255.5,257.5,0.5,56684157,321000,681000,57686157
2018/9/5,52706459,16421,13833360422,260,264.5,259,264,6.5,70069026,441813,3183000,73693839
2018/9/6,39779488,11996,10467251488,268,268,261,261,3,57811711,347000,1685000,59843711
2018/9/7,44746728,15015,11753033262,263,264,260.5,264,3,68096854,570503,1988000,70655357
2018/9/10,62851599,15504,16669866076,266.5,266.5,262.5,264.5,0.5,98377900,450000,1542000,100369900
2018/9/11,44981276,14768,11709484991,263,263.5,258,260,4.5,60268867,877000,2328000,63473867
2018/9/12,38415965,12104,9987682900,261,262,258,260.5,0.5,57076488,529000,2175000,59780488
2018/9/13,37959180,14987,9721989110,260,260,253.5,255,5.5,46004061,556000,2039000,48599061
2018/9/14,40034219,15690,10379404959,257,261.5,257,261,6,52112866,720000,1561000,54393866
2018/9/17,25041358,10710,6483537091,262.5,262.5,257,258,3,24265268,856000,1706000,26827268
2018/9/18,34381152,11097,8771502830,256.5,257,254,254.5,3.5,39524109,1000000,1503000,42027109
2018/9/19,69978711,14056,18074954749,258,260,257,258,3.5,108633390,233000,1924000,110790390
2018/9/20,35577071,9444,9225009310,261.5,261.5,257.5,260,2,43703546,580800,1125000,45409346
2018/9/21,36500974,10159,9510363894,261.5,261.5,258,261.5,1.5,56210224,301000,1430000,57941224
2018/9/25,24978062,10082,6552894296,261.5,264,260.5,263.5,2,30454809,134000,1054000,31642809
2018/9/26,25061115,7007,6577367245,263,263.5,261,263.5,0,33476732,70000,1566000,35112732
2018/9/27,38495371,11536,10185827315,264,266,262,265,1.5,47515234,188000,1215000,48918234
2018/9/28,39645486,13060,10412455506,266,266,260,262.5,2.5,47741548,243000,2706000,50690548
2018/10/1,22409380,11914,5882532290,262,264,261,263,0.5,22260045,849000,554000,23663045
2018/10/2,38391491,17095,9926505357,262,263,257,257.5,5.5,42369473,1333000,1767000,45469473
2018/10/3,25228536,9992,6527393860,257.5,260,257,260,2.5,19734436,1218000,1750000,22702436
2018/10/4,38009727,15094,9690178362,257,257.5,254,254,6,43334835,656000,1396998,45387833
2018/10/5,40396660,16031,10101451270,250,253,248.5,250,4,38136769,1037230,2785999,41959998
2018/10/8,51083958,20745,12426290240,245.5,246.5,241,243.5,6.5,51946164,1049000,2799000,55794164
2018/10/9,28933345,11743,7051600725,243.5,245,242,244,0.5,36711154,275000,1148000,38134154
2018/10/11,96033657,37543,22115862239,233.5,233.5,227,227.5,16.5,108431459,905085,4550000,113886544
2018/10/12,54439769,17980,12650322522,231,237,229,237,9.5,67844251,1172000,2520000,71536251
2018/10/15,46471280,16558,10766953220,234,234,230.5,230.5,6.5,57884480,380000,1616996,59881476
2018/10/16,39129077,15182,9155829047,229.5,237,229,237,6.5,48102331,475000,2351000,50928331
2018/10/17,42887858,17550,10318955161,241.5,243,238,238.5,1.5,46127861,1423000,3693000,51243861
2018/10/18,27793430,10599,6587887632,238,239,235.5,236.5,2,34253742,233000,1252000,35738742
2018/10/19,29648460,12378,6927405460,231,236.5,230,236,0.5,34253742,233000,1252000,35738742
2018/10/22,29275777,10384,6872467149,232.5,238,231.5,237,1,34105464,851000,1419000,36375464
2018/10/23,36757745,13071,8538586595,232,234,230,230,7,51859581,211552,1250995,53322128
2018/10/24,45480950,17339,10426514872,230,231,227,229.5,0.5,53376359,1320000,2074997,56771356
2018/10/25,75524118,27514,16643542368,220.5,222,219.5,219.5,10,72865882,183553,2368990,75418425
2018/10/26,54073644,17106,11941421696,223,224,217,221,1.5,65830840,435000,1306997,67572837
2018/10/29,18463792,7679,4107663616,223,224,221,222.5,1.5,23568395,515000,907000,24990395
